,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
83,Ram It Down,Judas Priest,288693,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock",141.123,-4.928,0.988,0.188,2,0.00282,0.159,hype
84,Heavy Metal,Judas Priest,358240,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock",134.018,-5.181,0.975,0.423,2,3.66e-05,0.236,hype
85,Yamborghini Dream (feat. Young Thug),Lil Uzi Vert,227571,"hip hop, melodic rap, philly rap, rage rap, rap",118.869,-4.993,0.734,0.75,7,0.0,0.364,hype
86,M-16,Sodom,289133,"black thrash, death metal, deathrash, german metal, german thrash metal, metal, old school thrash, speed metal, thrash metal",140.902,-6.429,0.947,0.307,2,0.931,0.276,hype
87,I Am the War (2021 - Remaster),Sodom,246746,"black thrash, death metal, deathrash, german metal, german thrash metal, metal, old school thrash, speed metal, thrash metal",98.963,-4.804,0.972,0.311,1,0.723,0.298,hype
88,Zeroed,Bolt Thrower,346426,"british death metal, brutal death metal, death metal, deathgrind, metal, technical death metal",147.78,-6.652,0.978,0.157,8,0.922,0.0556,hype
89,One Beer,MF DOOM,258586,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop",91.115,-6.7,0.718,0.376,7,0.00332,0.615,hype
90,Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,172893,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop",95.051,-6.827,0.832,0.728,7,0.0,0.825,hype
91,Doomsday,MF DOOM,298053,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop",95.416,-7.736,0.84,0.856,6,0.0,0.792,hype
92,"Sargent ""D"" and the S.O.D.",S.O.D. Stormtroopers of Death,143800,"crossover thrash, thrash metal",97.161,-12.025,0.923,0.199,10,0.898,0.423,hype
93,Painkiller,Judas Priest,365826,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock",103.16,-4.667,0.987,0.435,1,0.0847,0.101,hype
94,Leather Rebel,Judas Priest,214933,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock",168.151,-5.93,0.936,0.289,9,0.0034,0.25,hype
95,Immortal Rites,Morbid Angel,243520,"black metal, brutal death metal, death metal, deathgrind, florida death metal, metal, speed metal, technical death metal",98.424,-7.796,0.934,0.19,1,0.107,0.36,hype
96,Dark Fantasy,Kanye West,280786,"chicago rap, hip hop, rap",87.998,-5.919,0.587,0.599,5,0.0,0.373,hype
97,POWER,Kanye West,292093,"chicago rap, hip hop, rap",153.993,-4.747,0.914,0.542,0,0.0,0.576,hype
98,All Of The Lights,Kanye West,299613,"chicago rap, hip hop, rap",142.113,-3.284,0.803,0.531,1,1.71e-05,0.221,hype
99,Runaway,Kanye West,547733,"chicago rap, hip hop, rap",84.733,-3.825,0.568,0.374,1,0.00219,0.111,hype
100,Lost In The World,Kanye West,256586,"chicago rap, hip hop, rap",117.072,-5.249,0.746,0.608,5,0.0087,0.277,hype
101,Battles in the North,Immortal,251973,"black metal, metal, norwegian black metal, norwegian metal, pagan black metal, thrash metal",101.328,-4.335,0.985,0.22,5,0.637,0.0314,hype
102,Bunny Suit,Sematary,181129,cloud rap,129.339,-7.797,0.909,0.505,6,0.0,0.45,hype
103,Ballin' (with Roddy Ricch),Mustard,180434,"cali rap, pop rap, rap, southern hip hop, trap",97.008,-6.678,0.545,0.809,7,0.0,0.244,hype
104,SICKO MODE,Travis Scott,312820,"hip hop, rap, slap house",155.008,-3.714,0.73,0.834,8,0.0,0.446,hype
105,Mo Bamba,Sheck Wes,183906,"pop rap, rap, trap",146.034,-5.266,0.625,0.729,4,0.00986,0.261,hype
106,Drip Too Hard (Lil Baby & Gunna),Lil Baby,145542,"atl hip hop, atl trap, rap, trap",112.511,-6.903,0.662,0.897,1,0.0,0.389,hype
107,REEL IT IN,Aminé,121346,"pop rap, portland hip hop, rap, underground hip hop",128.981,-8.677,0.342,0.754,10,0.0,0.423,hype
108,Come Get Her,Rae Sremmurd,212946,"melodic rap, mississippi hip hop, pop rap, rap, trap",185.023,-6.226,0.564,0.689,2,0.0,0.123,hype
109,Yes Indeed,Lil Baby,142273,"atl hip hop, atl trap, rap, trap",119.958,-9.309,0.346,0.964,5,0.0,0.562,hype
110,Stir Fry,Migos,190288,"atl hip hop, hip hop, pop rap, rap, trap",181.982,-5.402,0.816,0.817,2,0.0,0.508,hype
111,Bad and Boujee (feat. Lil Uzi Vert),Migos,343150,"atl hip hop, hip hop, pop rap, rap, trap",127.079,-5.314,0.666,0.926,11,0.0,0.168,hype
112,ZEZE (feat. Travis Scott & Offset),Kodak Black,228653,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino",98.044,-5.692,0.637,0.861,8,3.35e-06,0.474,hype
113,goosebumps,Travis Scott,243836,"hip hop, rap, slap house",130.049,-3.37,0.728,0.841,7,0.0,0.43,hype
114,HUMBLE.,Kendrick Lamar,177000,"conscious hip hop, hip hop, rap, west coast rap",150.011,-6.638,0.621,0.908,1,5.39e-05,0.421,hype
115,Topanga,Trippie Redd,215364,"melodic rap, rap, trap",105.955,-8.245,0.615,0.755,4,1.75e-06,0.039,hype
116,Leave Me Alone,Flipp Dinero,195637,"melodic rap, trap",150.024,-2.806,0.743,0.792,7,0.0,0.742,hype
117,I Don't Fuck With You,Big Sean,284386,"detroit hip hop, hip hop, pop rap, r&b, rap, trap",97.972,-5.474,0.733,0.824,1,0.0,0.395,hype
118,Wake Up in the Sky,Gucci Mane,204664,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap",143.01,-5.144,0.578,0.8,4,0.0,0.367,hype
119,XO Tour Llif3,Lil Uzi Vert,182706,"hip hop, melodic rap, philly rap, rage rap, rap",155.096,-6.366,0.75,0.732,11,0.0,0.401,hype
120,Money Longer,Lil Uzi Vert,198944,"hip hop, melodic rap, philly rap, rage rap, rap",136.173,-7.817,0.568,0.795,5,0.0,0.478,hype
121,Mask Off,Future,204600,"atl hip hop, hip hop, rap, southern hip hop, trap",150.062,-8.795,0.434,0.833,2,0.0219,0.281,hype
122,Tunnel Vision,Kodak Black,268186,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino",171.853,-7.724,0.489,0.497,11,9.91e-05,0.231,hype
123,Look Back at It,A Boogie Wit da Hoodie,179449,"melodic rap, rap, trap",96.057,-5.075,0.587,0.791,3,0.0,0.536,hype
124,Wow.,Post Malone,149546,"dfw rap, melodic rap, pop, rap",99.96,-7.359,0.539,0.829,11,1.78e-06,0.388,hype
125,Gold Digger,Kanye West,207626,"chicago rap, hip hop, rap",93.034,-5.572,0.696,0.629,1,0.0,0.623,hype
126,679 (feat. Remy Boyz),Fetty Wap,196693,"new jersey rap, pop rap, rap, southern hip hop, trap",190.05,-5.738,0.717,0.618,7,0.0,0.603,hype
127,Trap Queen,Fetty Wap,222093,"new jersey rap, pop rap, rap, southern hip hop, trap",148.075,-3.803,0.873,0.746,7,0.0,0.817,hype
128,Swang,Rae Sremmurd,208120,"melodic rap, mississippi hip hop, pop rap, rap, trap",139.992,-9.319,0.314,0.681,8,9.82e-06,0.166,hype
129,Taste (feat. Offset),Tyga,232959,"hip hop, pop rap, rap, trap",97.994,-7.442,0.559,0.884,0,0.0,0.342,hype
130,Hot (feat. Gunna),Young Thug,193026,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",111.997,-8.044,0.651,0.855,0,0.0,0.559,hype
131,Baby Birkin,Gunna,181948,"atl hip hop, melodic rap, rap, trap",118.04,-6.083,0.649,0.848,2,0.0,0.629,hype
132,Broccoli,DRAM,225205,"pop rap, trap, underground hip hop, viral trap, virginia hip hop",145.99,-7.39,0.525,0.886,8,0.0,0.708,hype
133,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,176631,"memphis hip hop, rap",120.08,-4.768,0.511,0.894,2,0.0,0.568,hype
134,HIGHEST IN THE ROOM,Travis Scott,175720,"hip hop, rap, slap house",76.469,-8.764,0.427,0.598,7,5.83e-06,0.0605,hype
135,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,207333,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",95.078,-6.425,0.655,0.715,0,0.0,0.531,hype
136,Gas Pedal,Sage The Gemini,208160,"hyphy, pop rap, southern hip hop, trap",97.49,-8.028,0.538,0.843,1,0.0,0.428,hype
137,Bands,Comethazine,98734,"trap, underground hip hop",158.008,-10.775,0.457,0.834,10,0.0,0.533,hype
138,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,237240,"cali rap, hip hop, pop rap, rap, southern hip hop, trap",203.911,-7.709,0.346,0.745,1,0.0,0.112,hype
139,Going Bad (feat. Drake),Meek Mill,180522,"hip hop, philly rap, pop rap, rap, southern hip hop, trap",86.003,-6.365,0.496,0.889,4,0.0,0.544,hype
140,Faucet Failure,Life Loops,144222,,99.965,-5.64,0.775,0.945,10,0.0,0.778,hype
141,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,176674,"atl hip hop, dirty south rap, rap, southern hip hop, trap",81.998,-7.533,0.62,0.728,2,0.0,0.885,hype
142,Ni**as In Paris,JAY-Z,219333,"east coast hip hop, gangster rap, hip hop, pop rap, rap",140.027,-5.542,0.859,0.788,1,0.0,0.769,hype
143,No Role Modelz,J. Cole,292986,"conscious hip hop, hip hop, north carolina hip hop, rap",100.45,-8.465,0.521,0.692,10,0.0,0.463,hype
144,Throw Sum Mo,Rae Sremmurd,260453,"melodic rap, mississippi hip hop, pop rap, rap, trap",142.062,-7.91,0.627,0.859,6,0.000202,0.594,hype
145,Really Really,Kevin Gates,232093,"baton rouge rap, rap, southern hip hop, trap",118.97,-6.055,0.666,0.762,0,0.0,0.278,hype
146,A Milli,Lil Wayne,221840,"hip hop, new orleans rap, pop rap, rap, trap",151.486,-8.636,0.695,0.674,6,0.00202,0.773,hype
147,Only,Nicki Minaj,312026,"hip pop, pop, queens hip hop, rap",179.196,-7.245,0.495,0.573,8,0.0,0.255,hype
148,Lose Yourself,Eminem,326466,"detroit hip hop, hip hop, rap",171.374,-4.565,0.744,0.692,2,0.000423,0.0612,hype
149,Uber Everywhere,MadeinTYO,153428,"atl hip hop, melodic rap, trap",140.181,-15.025,0.455,0.779,1,0.0,0.197,hype
150,23,Mike WiLL Made-It,252520,"atl hip hop, rap, southern hip hop, trap",140.005,-5.254,0.599,0.859,9,8.2e-06,0.319,hype
151,Slob On My Nob,Tear Da Club Up Thugs,118973,"crunk, dirty south rap, memphis hip hop",84.809,-6.236,0.661,0.861,1,0.0,0.556,hype
152,Yeah! (feat. Lil Jon & Ludacris),USHER,250373,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",105.018,-4.699,0.791,0.894,2,0.0,0.583,hype
153,Rack City,Tyga,208840,"hip hop, pop rap, rap, trap",98.958,-10.943,0.326,0.928,1,2.56e-05,0.261,hype
154,Caroline,Aminé,209746,"pop rap, portland hip hop, rap, underground hip hop",120.058,-8.571,0.394,0.945,10,0.0,0.743,hype
