,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
104,Let's Get Lost (feat. Devon Baldwin),G-Eazy,240680,"indie pop rap, oakland hip hop, pop rap, rap",117.96,-9.188,0.672,0.671,4,3.98e-05,0.186,sad
105,Sure Thing,Miguel,195373,"r&b, urban contemporary",81.001,-8.127,0.607,0.684,11,0.000307,0.498,sad
106,Hurt You,The Weeknd,230026,"canadian contemporary r&b, canadian pop, pop",184.131,-7.193,0.716,0.484,5,0.00214,0.365,sad
107,First Fuck,6LACK,205489,"atl hip hop, melodic rap, r&b, rap, trap",88.449,-9.753,0.315,0.35,3,2.82e-06,0.427,sad
108,Switch,Roy Woods,201305,"canadian contemporary r&b, canadian hip hop",91.04,-8.863,0.406,0.671,1,0.000324,0.409,sad
109,Pretty Little Fears (feat. J. Cole),6LACK,240341,"atl hip hop, melodic rap, r&b, rap, trap",192.099,-11.336,0.458,0.61,9,0.000103,0.246,sad
110,Thinkin Bout You,Frank Ocean,200746,"lgbtq+ hip hop, neo soul",129.83,-11.195,0.339,0.721,0,0.00153,0.2,sad
111,Power Trip (feat. Miguel),J. Cole,241160,"conscious hip hop, hip hop, north carolina hip hop, rap",99.991,-7.054,0.61,0.667,1,0.000203,0.465,sad
112,Priorities,Sy Ari Da Kid,342318,pop r&b,95.617,-22.147,0.0851,0.458,4,0.0,0.201,sad
113,Stuck on Stupid - Edit,NO1-NOAH,225720,trap soul,138.249,-6.67,0.478,0.663,5,0.0,0.418,sad
114,FaceTime for 30,NO1-NOAH,209160,trap soul,107.806,-7.677,0.591,0.707,8,0.0,0.116,sad
115,Alone Pt. 2 (Here We Go Again),NO1-NOAH,320853,trap soul,81.664,-11.642,0.352,0.365,11,2.9e-05,0.123,sad
116,Moonlight,Juice Thekid,183451,,146.38,-9.553,0.5,0.591,11,0.0,0.234,sad
117,She's Mine Pt. 2,J. Cole,278920,"conscious hip hop, hip hop, north carolina hip hop, rap",70.031,-15.265,0.194,0.486,2,0.00624,0.048,sad
118,Say It,Tory Lanez,237786,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",107.331,-10.511,0.529,0.546,11,6.5e-06,0.247,sad
119,Fear,Drake,280626,"canadian hip hop, canadian pop, hip hop, pop rap, rap",86.704,-6.086,0.763,0.464,9,0.0,0.299,sad
120,Find Your Love,Drake,208946,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96.038,-6.006,0.614,0.627,6,0.0,0.758,sad
121,Shut It Down,Drake,419306,"canadian hip hop, canadian pop, hip hop, pop rap, rap",119.905,-9.298,0.434,0.59,9,0.0,0.399,sad
122,Diamonds Dancing,Drake,314631,"canadian hip hop, canadian pop, hip hop, pop rap, rap",136.036,-10.847,0.358,0.51,1,3.74e-05,0.171,sad
123,BAD!,XXXTENTACION,94245,"emo rap, miami hip hop",143.983,-3.4,0.492,0.78,5,0.0313,0.374,sad
124,Say Less,Roy Woods,187066,"canadian contemporary r&b, canadian hip hop",93.023,-13.388,0.259,0.694,3,0.00018,0.295,sad
125,Top Left,Roy Woods,178246,"canadian contemporary r&b, canadian hip hop",130.372,-11.019,0.447,0.657,8,0.0103,0.189,sad
126,The Way You Sex,Roy Woods,235527,"canadian contemporary r&b, canadian hip hop",125.36,-9.806,0.384,0.92,1,0.000195,0.179,sad
127,My Love (feat. Drake),Majid Jordan,248432,"canadian contemporary r&b, canadian hip hop",119.088,-9.575,0.536,0.624,2,0.000428,0.131,sad
128,Get You Good,Roy Woods,226632,"canadian contemporary r&b, canadian hip hop",86.185,-7.077,0.502,0.69,0,0.0,0.329,sad
129,Her,Majid Jordan,300728,"canadian contemporary r&b, canadian hip hop",90.029,-6.6,0.5,0.675,1,0.00268,0.0709,sad
130,Best Part (feat. H.E.R.),Daniel Caesar,209831,canadian contemporary r&b,75.24,-10.209,0.364,0.524,7,0.0,0.436,sad
131,Get You (feat. Kali Uchis),Daniel Caesar,278179,canadian contemporary r&b,74.038,-8.533,0.294,0.658,4,5.2e-05,0.358,sad
132,Don't Tell Me You Love Me,Big Sean,236320,"detroit hip hop, hip hop, pop rap, r&b, rap, trap",91.444,-5.12,0.878,0.398,9,0.0,0.236,sad
133,Live For,The Weeknd,222666,"canadian contemporary r&b, canadian pop, pop",75.983,-7.64,0.68,0.624,0,0.0,0.227,sad
134,Complicated Love (feat. Drake),BeeLo Loco,154174,,174.115,-17.191,0.338,0.527,1,3.95e-05,0.289,sad
135,Poetic Justice,Kendrick Lamar,300160,"conscious hip hop, hip hop, rap, west coast rap",135.956,-9.985,0.572,0.779,6,0.0,0.647,sad
136,Transparency,PARTYNEXTDOOR,230599,"r&b, rap, urban contemporary",126.838,-11.628,0.245,0.582,10,5.58e-06,0.0575,sad
137,1942,PARTYNEXTDOOR,341934,"r&b, rap, urban contemporary",116.621,-9.657,0.532,0.758,1,0.00104,0.0912,sad
138,High Hopes,PARTYNEXTDOOR,442077,"r&b, rap, urban contemporary",174.702,-7.683,0.448,0.613,1,0.00864,0.197,sad
139,Same Mistakes,Champagne Pa,257724,,137.077,-13.537,0.391,0.467,1,0.00029,0.178,sad
140,I Get Lonely Too,Champagne Pa,253596,,81.579,-12.316,0.456,0.424,11,2.5e-05,0.593,sad
141,Cece's Interlude,Drake,154120,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94.984,-6.875,0.603,0.473,9,6.25e-06,0.234,sad
142,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,198902,"emo rap, miami hip hop",104.969,-5.45,0.723,0.703,9,2.06e-06,0.288,sad
143,I Don't Wanna Do This Anymore,XXXTENTACION,87560,"emo rap, miami hip hop",114.208,-7.681,0.778,0.433,4,0.0,0.764,sad
144,Carry On,XXXTENTACION,129720,"emo rap, miami hip hop",147.899,-13.378,0.197,0.735,3,0.000276,0.383,sad
145,"ALONE, PART 3",XXXTENTACION,109986,"emo rap, miami hip hop",127.08,-12.758,0.258,0.61,0,0.0145,0.164,sad
146,before I close my eyes,XXXTENTACION,99658,"emo rap, miami hip hop",75.522,-15.148,0.143,0.356,9,1.89e-05,0.334,sad
147,Dark Times,The Weeknd,260640,"canadian contemporary r&b, canadian pop, pop",132.986,-9.593,0.421,0.585,7,9.54e-06,0.24,sad
148,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,226742,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",127.023,-7.379,0.477,0.877,9,0.0,0.552,sad
149,&burn (with Vince Staples),Billie Eilish,179015,"art pop, pop",82.531,-9.351,0.379,0.776,9,0.00175,0.346,sad
150,Lowkey (feat. Roy Woods & 24hrs),PnB Rock,200275,"melodic rap, rap, trap",145.015,-6.313,0.666,0.75,8,0.0,0.531,sad
151,Feelins,PnB Rock,221000,"melodic rap, rap, trap",150.076,-4.046,0.782,0.63,6,0.0,0.657,sad
152,Selfish,PnB Rock,245604,"melodic rap, rap, trap",101.981,-5.84,0.6,0.638,1,0.0,0.0399,sad
153,Too Deep,dvsn,200223,"canadian contemporary r&b, r&b",183.948,-13.975,0.243,0.616,9,0.149,0.56,sad
154,"You, World, or Myself (feat. Roy Woods)",Stwo,205600,"trap soul, vapor twitch",150.028,-7.767,0.411,0.858,2,0.000274,0.248,sad
155,Jealousy,Roy Woods,224546,"canadian contemporary r&b, canadian hip hop",124.082,-10.606,0.38,0.579,5,1.94e-05,0.046,sad
156,Snow White,Roy Woods,261834,"canadian contemporary r&b, canadian hip hop",88.038,-7.955,0.559,0.782,0,2.11e-06,0.199,sad
157,Angel,The Weeknd,377346,"canadian contemporary r&b, canadian pop, pop",127.966,-7.574,0.583,0.626,10,0.0,0.335,sad
158,Chanel,Frank Ocean,210285,"lgbtq+ hip hop, neo soul",110.134,-5.732,0.503,0.776,0,0.0,0.473,sad
159,Self Control,Frank Ocean,249667,"lgbtq+ hip hop, neo soul",80.099,-10.426,0.21,0.581,8,0.0,0.452,sad
160,Go Go Go,Roy Woods,245626,"canadian contemporary r&b, canadian hip hop",77.958,-11.274,0.365,0.637,0,1.06e-05,0.0459,sad
161,Got Me,Roy Woods,218084,"canadian contemporary r&b, canadian hip hop",101.997,-4.937,0.685,0.692,10,1.28e-05,0.502,sad
162,Connect,Drake,296413,"canadian hip hop, canadian pop, hip hop, pop rap, rap",75.039,-9.473,0.488,0.683,6,0.0,0.469,sad
163,From Time,Drake,322160,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94.378,-9.726,0.491,0.738,1,0.0,0.448,sad
164,whoa (mind in awe),XXXTENTACION,157776,"emo rap, miami hip hop",160.147,-2.939,0.525,0.735,6,0.918,0.369,sad
165,what are you so afraid of,XXXTENTACION,150769,"emo rap, miami hip hop",103.369,-9.902,0.312,0.639,0,0.469,0.347,sad
166,Honesty,Pink Sweat$,191000,bedroom soul,79.826,-11.421,0.204,0.616,6,0.0,0.419,sad
167,Play with Me,Rendezvous At Two,252445,bedroom soul,106.614,-12.369,0.438,0.716,6,0.0,0.262,sad
168,difference (interlude),XXXTENTACION,76973,"emo rap, miami hip hop",102.456,-15.268,0.0668,0.593,11,1.31e-05,0.19,sad
169,Guardian angel,XXXTENTACION,108034,"emo rap, miami hip hop",133.952,-10.215,0.374,0.712,0,0.0,0.779,sad
170,What You Need,The Weeknd,196360,"canadian contemporary r&b, canadian pop, pop",133.895,-8.637,0.405,0.657,0,0.072,0.0673,sad
171,I Fall Apart,Post Malone,223346,"dfw rap, melodic rap, pop, rap",143.95,-5.408,0.538,0.556,8,0.0,0.291,sad
172,Christmas At Swae’s,Swae Lee,226031,"melodic rap, rap, trap",99.811,-6.558,0.336,0.556,4,0.0,0.233,sad
173,Stay,Post Malone,204426,"dfw rap, melodic rap, pop, rap",86.046,-5.418,0.48,0.507,5,0.0,0.35,sad
174,Would You,Pink Sweat$,153124,bedroom soul,105.14,-11.137,0.19,0.71,4,0.0,0.495,sad
175,Cocaine,Pink Sweat$,131500,bedroom soul,118.499,-12.343,0.228,0.455,5,0.0,0.142,sad
176,BB,Roy Woods,236382,"canadian contemporary r&b, canadian hip hop",105.973,-9.09,0.354,0.687,0,0.0325,0.111,sad
177,Feeling in Color,NO1-NOAH,250000,trap soul,135.408,-11.915,0.314,0.641,1,1.5e-05,0.364,sad
178,i miss the old u,blackbear,211127,pop,132.995,-5.257,0.805,0.718,7,0.0,0.36,sad
179,Frustrated,R.LUM.R,201463,,122.329,-6.186,0.57,0.441,2,0.0,0.229,sad
180,Left Unsaid,NO1-NOAH,356013,trap soul,119.528,-10.423,0.286,0.425,2,2.52e-05,0.139,sad
181,Break on Monday,Ryan Trey,264000,trap soul,100.884,-9.099,0.331,0.425,6,3.64e-05,0.104,sad
182,Little Bit (feat. Lykke Li),Drake,230484,"canadian hip hop, canadian pop, hip hop, pop rap, rap",120.392,-4.899,0.888,0.758,11,0.0336,0.771,sad
183,A Night Off (feat. Lloyd),Drake,193962,"canadian hip hop, canadian pop, hip hop, pop rap, rap",103.612,-5.573,0.508,0.611,11,3.87e-06,0.368,sad
184,Bria's Interlude (feat. Omarion),Drake,139574,"canadian hip hop, canadian pop, hip hop, pop rap, rap",147.037,-6.205,0.507,0.49,2,0.00104,0.237,sad
185,Lust For Life,Drake,176179,"canadian hip hop, canadian pop, hip hop, pop rap, rap",87.364,-10.381,0.422,0.462,6,0.0327,0.0853,sad
186,Sooner Than Later,Drake,262046,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94.554,-5.722,0.501,0.616,5,1.2e-05,0.506,sad
187,Lie,NF,209213,"hip hop, pop rap",94.791,-6.419,0.661,0.513,5,0.0,0.179,sad
188,All Over You,Majid Jordan,215327,"canadian contemporary r&b, canadian hip hop",106.957,-6.964,0.5,0.797,0,0.0,0.492,sad
189,My Imagination (feat. dvsn),Majid Jordan,225775,"canadian contemporary r&b, canadian hip hop",129.001,-10.836,0.545,0.695,0,0.128,0.0387,sad
190,Robbery,Juice WRLD,240527,"chicago rap, melodic rap, rap",79.99,-5.179,0.691,0.708,2,0.0,0.535,sad
191,Talk 2 U,Brent Faiyaz,159485,"r&b, rap",88.018,-10.443,0.634,0.688,5,0.000263,0.561,sad
192,Little Bit of You,Kevin Garrett,273946,"nyc pop, pittsburgh indie",89.925,-10.632,0.328,0.655,6,0.0884,0.261,sad
193,This Way - From SUPERFLY - Original Soundtrack,Khalid,211204,"pop, pop r&b",124.609,-10.533,0.282,0.62,5,0.0,0.193,sad
194,See My Face,WRKINSILENCE,166416,dark r&b,149.99,-8.292,0.606,0.587,4,5.38e-06,0.0918,sad
195,Let You Down,NF,212120,"hip hop, pop rap",147.997,-5.68,0.714,0.662,5,0.0,0.464,sad
196,To the Women,NO1-NOAH,339533,trap soul,97.242,-14.189,0.181,0.573,10,7.23e-05,0.222,sad
